what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1336935944535
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1336935944597
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336935949135
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336935958916
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1336935959899
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1336935966885
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1336935967789
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1336935975277
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1336935982476
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336935991381
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336935991864
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1336936002657
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336936011331
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1336936033902
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1336936033948
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336936034011
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336936044002
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336936051787
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336936059210
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336936067132
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336936068739
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336936069446
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336936072651
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336936072698
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1336936079794
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336936094702
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336936104869
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1336936106015
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336936107438
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336936107532
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336936116506
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336936125534
